language,word_clean,cd_score
Mandarin (Taiwanese),背心,27
Mandarin (Taiwanese),走,611
Mandarin (Taiwanese),要,2003
Mandarin (Taiwanese),衣橱,39
Mandarin (Taiwanese),洗,325
Mandarin (Taiwanese),洗衣机,22
Mandarin (Taiwanese),水,455
Mandarin (Taiwanese),穿,339
Mandarin (Taiwanese),湿,41
Mandarin (Taiwanese),什么,1704
Mandarin (Taiwanese),哪里,675
Mandarin (Taiwanese),哪个,169
Mandarin (Taiwanese),白色,92
Mandarin (Taiwanese),谁,726
Mandarin (Taiwanese),咦,213
Mandarin (Taiwanese),为什么,562
Mandarin (Taiwanese),风,108
Mandarin (Taiwanese),窗户,160
Mandarin (Taiwanese),擦,205
Mandarin (Taiwanese),狼,118
Mandarin (Taiwanese),写,433
Mandarin (Taiwanese),黄色,79
Mandarin (Taiwanese),是,2756
Mandarin (Taiwanese),好吃,191
Mandarin (Taiwanese),斑马,31
Mandarin (Taiwanese),黑黑的,6
Mandarin (Taiwanese),高高的,55
Mandarin (Taiwanese),撞,99
Mandarin (Taiwanese),泥土,55
Mandarin (Taiwanese),没有,895
Mandarin (Taiwanese),酸酸的,6
Mandarin (Taiwanese),散步,27
Mandarin (Taiwanese),对,1408
Mandarin (Taiwanese),好,1663
