"","language","uni_lemma","lexical_class","category","definition","word_clean"
"508","English (American)","think","verbs","action_words","think","think"
"509","English (American)","thirsty","adjectives","descriptive_words","thirsty","thirsty"
"510","English (American)","this","function_words","pronouns","this","this"
"511","English (American)","those","function_words","pronouns","those","those"
"512","English (American)","throw","verbs","action_words","throw","throw"
"513","English (American)","tickle","verbs","action_words","tickle","tickle"
"514","English (American)","tiger","nouns","animals","tiger","tiger"
"515","English (American)","tights","nouns","clothing","tights","tights"
"516","English (American)","tiny","adjectives","descriptive_words","tiny","tiny"
"517","English (American)","tired","adjectives","descriptive_words","tired","tired"
"518","English (American)","tissue","nouns","household","tissue/kleenex","tissue"
"519","English (American)","to","function_words","locations","to","to"
"520","English (American)","toast","nouns","food_drink","toast","toast"
"521","English (American)","toe","nouns","body_parts","toe","toe"
"522","English (American)","tongue","nouns","body_parts","tongue","tongue"
"523","English (American)","too","function_words","quantifiers","too","too"
"524","English (American)","tooth","nouns","body_parts","tooth","tooth"
"525","English (American)","toothbrush","nouns","household","toothbrush","toothbrush"
"526","English (American)","touch","verbs","action_words","touch","touch"
"527","English (American)","towel","nouns","household","towel","towel"
"528","English (American)","toy (object)","nouns","toys","toy (object)","toy"
"529","English (American)","tractor","nouns","vehicles","tractor","tractor"
"530","English (American)","train","nouns","vehicles","train","train"
"531","English (American)","trash","nouns","household","trash","trash"
"532","English (American)","tray","nouns","household","tray","tray"
"533","English (American)","tree","nouns","outside","tree","tree"
"534","English (American)","tricycle","nouns","vehicles","tricycle","tricycle"
"535","English (American)","truck","nouns","vehicles","truck","truck"
"536","English (American)","try","function_words","helping_verbs","try/try to","try"
"537","English (American)","tummy","nouns","body_parts","tummy","tummy"
"538","English (American)","tuna","nouns","food_drink","tuna","tuna"
"539","English (American)","turkey","nouns","animals","turkey","turkey"
"540","English (American)","turtle","nouns","animals","turtle","turtle"
"541","English (American)","tv","nouns","furniture_rooms","TV","tv"
"542","English (American)","under","function_words","locations","under","under"
"543","English (American)","underpants","nouns","clothing","underpants","underpants"
"544","English (American)","up","function_words","locations","up","up"
"545","English (American)","us","function_words","pronouns","us","us"
"546","English (American)","vacuum","nouns","household","vacuum","vacuum"
"547","English (American)","vagina","nouns","body_parts","vagina*","vagina*"
"548","English (American)","vanilla","nouns","food_drink","vanilla","vanilla"
"549","English (American)","vitamins","nouns","food_drink","vitamins","vitamins"
"550","English (American)","wait","verbs","action_words","wait","wait"
"551","English (American)","wake","verbs","action_words","wake","wake"
"552","English (American)","walk","verbs","action_words","walk","walk"
"553","English (American)","walker","nouns","household","walker","walker"
"554","English (American)","wanna","function_words","helping_verbs","wanna/want to","wanna"
"555","English (American)","was","function_words","helping_verbs","was","was"
"556","English (American)","wash","verbs","action_words","wash","wash"
"557","English (American)","washing machine","nouns","furniture_rooms","washing machine","washing machine"
"558","English (American)","watch (action)","verbs","action_words","watch (action)","watch"
"559","English (American)","watch (object)","nouns","household","watch (object)","watch"
"560","English (American)","water (beverage)","nouns","food_drink","water (beverage)","water"
"561","English (American)","water (not beverage)","nouns","outside","water (not beverage)","water"
"562","English (American)","we","function_words","pronouns","we","we"
"563","English (American)","were","function_words","helping_verbs","were","were"
"564","English (American)","wet (description)","adjectives","descriptive_words","wet","wet"
"565","English (American)","what","function_words","question_words","what","what"
"566","English (American)","when (question)","function_words","question_words","when","when"
"567","English (American)","where (question)","function_words","question_words","where","where"
"568","English (American)","which (question)","function_words","question_words","which","which"
"569","English (American)","white","adjectives","descriptive_words","white","white"
"570","English (American)","who","function_words","question_words","who","who"
"571","English (American)","why","function_words","question_words","why","why"
"572","English (American)","will","function_words","helping_verbs","will","will"
"573","English (American)","wind","nouns","outside","wind","wind"
"574","English (American)","window","nouns","furniture_rooms","window","window"
"575","English (American)","windy","adjectives","descriptive_words","windy","windy"
"576","English (American)","wipe","verbs","action_words","wipe","wipe"
"577","English (American)","wish","verbs","action_words","wish","wish"
"578","English (American)","with","function_words","locations","with","with"
"579","English (American)","wolf","nouns","animals","wolf","wolf"
"580","English (American)","work (action)","verbs","action_words","work (action)","work"
"581","English (American)","work (place)","nouns","outside","work (place)","work"
"582","English (American)","would","function_words","helping_verbs","would","would"
"583","English (American)","write","verbs","action_words","write","write"
"584","English (American)","yard","nouns","outside","backyard","backyard"
"585","English (American)","yellow","adjectives","descriptive_words","yellow","yellow"
"586","English (American)","yogurt","nouns","food_drink","yogurt","yogurt"
"587","English (American)","you","function_words","pronouns","you","you"
"588","English (American)","your","function_words","pronouns","your","your"
"589","English (American)","yourself","function_words","pronouns","yourself","yourself"
"590","English (American)","yucky","adjectives","descriptive_words","yucky","yucky"
"591","English (American)","zebra","nouns","animals","zebra","zebra"
"592","English (American)","zipper","nouns","clothing","zipper","zipper"
"593","English (American)","zoo","nouns","outside","zoo","zoo"
"594","English (American)","butt","nouns","body_parts","buttocks/bottom*","bottom*"
"595","English (American)","did","function_words","helping_verbs","did/did ya","did ya"
"596","English (American)","gonna","function_words","helping_verbs","gonna/going to","going to"
"597","English (American)","gotta","function_words","helping_verbs","gotta/got to","got to"
"598","English (American)","hafta","function_words","helping_verbs","hafta/have to","have to"
"599","English (American)","in","function_words","locations","inside/in","in"
"600","English (American)","lemme","function_words","helping_verbs","lemme/let me","let me"
"601","English (American)","need","function_words","helping_verbs","need/need to","need to"
"602","English (American)","owie","nouns","body_parts","owie/boo boo","boo boo"
"603","English (American)","soda","nouns","food_drink","soda/pop","pop"
"604","English (American)","tissue","nouns","household","tissue/kleenex","kleenex"
"605","English (American)","try","function_words","helping_verbs","try/try to","try to"
"606","English (American)","wanna","function_words","helping_verbs","wanna/want to","want to"
